"BusinessName","Telephone","Email","EmailHost","WebsiteURL","Linkedin","FacebookProfile","FacebookMessenger","Instagram","Twitter","Google_Rank","DomainRegistered","DomainExpiry","DomainNameserver","DomainRegistrar","Instagram_Followers","Instagram_Follows","Instagram_TotalPhotos","Instagram_Average_Likes","Instagram_Average_Comments","Instagram_Is_verified","Instagram_HighlightReel_Count","Instagram_Is_BizAccount","Instagram_AccountName","YelpAds","FBMessenger_Ads","FacebookAds","Instagram_Ads","Adwords_Ads","Gmaps_URL","GMB_Claimed","FacebookPixel","GooglePixel","CriteoPixel","GoogleStars","GoogleCount","YelpStars","Yelpcount","FacebookStars","Facebookcount","MainCategory","Address","City","State","ZIP","MobileFriendly","GoogleAnalytics","SchemaMarkup","UseWordpress","UseShopify","LinkedinAnalytics"
"Adelphi Psych Medicine Clinic","6562509833","hello@adelphipsych.sg","Pro Plan Only","https://adelphipsych.sg/","https://www.linkedin.com/company/adelphi-psych-medicine-clinic","","","https://instagram.com/adelphipsych/","https://www.twitter.com/adelphipsych","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Upgrade","Pro Plan Only","Pro Plan Only","Pro Plan Only","Pro Plan Only","https://g.page/adelphipsych","verified","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","The Adelphi, 1 Coleman St","Singapore","","179097","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan"
"Sage Medical Clinic • Hair Transplant Singapore","6589505317","contact@sagemedical.sg","Pro Plan Only","https://sagemedical.sg/","https://www.linkedin.com/company/americanacademyofaestheticmedicine","","","https://instagram.com/sagemedicalsg/","https://www.twitter.com/nusmedicine","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Upgrade","Pro Plan Only","Pro Plan Only","Pro Plan Only","Pro Plan Only","https://maps.google.com/maps/place/Sage+Medical+Clinic+%E2%80%A2+Hair+Transplant+Singapore/@1.3022297,103.8363746,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x9BD05048C8FD91D2!8m2!3d1.3022297!4d103.8363746","verified","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Orchard Road Mandarin Gallery #03-33, 333A Orchard Rd, #03-33 Sage Medical Clinic • Hair Transplan","Singapore","Singapore","238897","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan"
"SGH Travel Clinic","6563214377","gdrappt@sgh.com.sg","Pro Plan Only","http://www.sgh.com.sg/Clinical-Departments-Centers/travelclinic/","https://www.linkedin.com/company/singapore-general-hospital","","","https://instagram.com/sghseen/","https://www.twitter.com/mysgh","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Upgrade","Pro Plan Only","Pro Plan Only","Pro Plan Only","Pro Plan Only","https://maps.google.com/maps/place/SGH+Travel+Clinic/@1.2814654,103.8367412,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xA762C50E6246ECA4!8m2!3d1.2814654!4d103.8367412","verified","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Level 4 SGH Travel Clinic Diabetes & Metabolism Centre","Singapore","Singapore","169040","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan"
"DTAP Clinic @ Clarke Quay","6566906162","my.hello@dtapclinic.com","Pro Plan Only","https://www.dtapclinic.com/","https://www.linkedin.com/company/dtap-clinic","","","https://instagram.com/dtapclinic/","https://www.twitter.com/drtannpartners","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Upgrade","Pro Plan Only","Pro Plan Only","Pro Plan Only","Pro Plan Only","https://g.page/allergy-testing-clinic","verified","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","#02-07 Anonymous HIV Testing Clinic (Dr Tan and Partners @Robertson) | DTAP Clinic, Robertson Walk","Singapore","Singapore","238251","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan"
"Bukit Timah Clinic","6564665458","enquiry@65doctor.com","Pro Plan Only","https://65doctor.com/doctor/david-w-h-kwee","https://www.linkedin.com/company/65doctor","","","https://instagram.com/65doctor/","https://www.twitter.com/65doctor","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Upgrade","Pro Plan Only","Pro Plan Only","Pro Plan Only","Pro Plan Only","https://maps.google.com/maps/place/Bukit+Timah+Clinic/@1.3246663,103.8091145,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xE2CC28C2901305EA!8m2!3d1.3246663!4d103.8091145","verified","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Bukit Timah Clinic 269731","Singapore","SG","269731","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan"
"Nuffield Medical Siglap","6566363083","siglap@nuffieldmedical.com.sg","Pro Plan Only","https://nuffieldmedical.com.sg/","https://www.linkedin.com/company/nuffield-medical","","","https://instagram.com/nuffieldmedical/","https://www.twitter.com/nuffieldmedical","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Upgrade","Pro Plan Only","Pro Plan Only","Pro Plan Only","Pro Plan Only","https://maps.google.com/maps/place/Nuffield+Medical+Siglap/@1.312145,103.924416,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x2B02DEE2B1767262!8m2!3d1.312145!4d103.924416","verified","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","#01-03 Nuffield Medical Siglap, The Domain","Singapore","SG","456441","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan"
"Admiralty Medical Centre (AdMC) Clinical Services","6565558000","ktph.pdpa@ktph.com.sg","Pro Plan Only","https://www.ktph.com.sg/admiralty-medical-centre","https://www.linkedin.com/company/khoo-teck-puat-hospital","","","https://instagram.com/khooteckpuathospital/","https://www.twitter.com/ktph","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Upgrade","Pro Plan Only","Pro Plan Only","Pro Plan Only","Pro Plan Only","https://g.page/AdmiraltyMedicalCentre","verified","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","#03-01 Admiralty Medical Centre (AdMC) Clinical Services, Kampung Admiralty, 730676","","","","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan"
"DASETI Hypnotherapy Service Singapore","6563891713","info@daseti.com","Pro Plan Only","http://www.daseti.com/","https://www.linkedin.com/company/daseti","","","https://instagram.com/nathanaelseers/","https://www.twitter.com/daseti","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Upgrade","Pro Plan Only","Pro Plan Only","Pro Plan Only","Pro Plan Only","https://maps.google.com/maps/place/DASETI+Hypnotherapy+Service+Singapore/@1.2924114,103.8510298,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x76ECB28D2D2CCAD2!8m2!3d1.2924114!4d103.8510298","verified","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","#27-01 DASETI Hypnotherapy Service Singapore, Peninsula Plaza, 179098","","","","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan"
"Chung Yung Fang TCM Clinic Acne","6565542048","tiffanyyongwt@gmail.com","Pro Plan Only","https://tiffanyyong.com/2013/05/13/be-acne-free-part1-han-dian-tcm-clinic/","https://www.linkedin.com/in/tiffanyyongwt","","","https://instagram.com/tiffanyyongwt4242/","https://www.twitter.com/tiffanyyongwt","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Upgrade","Pro Plan Only","Pro Plan Only","Pro Plan Only","Pro Plan Only","https://maps.google.com/maps/place/Chung+Yung+Fang+TCM+Clinic+Acne/@1.2867275476456,103.84492492676,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x54CA9D06AC7F15EF!8m2!3d1.2867275476456!4d103.84492492676","1","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","2 Havelock Road","Singapore","Singapore","05","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan"
"PW CLINIC PTE. LTD.","67935911","cskh@nhakhoaparkway.com","Pro Plan Only","https://nhakhoaparkway.com/","https://www.linkedin.com/company/pw-medical-group","","","https://instagram.com/nhakhoaparkway/","https://www.twitter.com/lanseo","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Upgrade","Pro Plan Only","Pro Plan Only","Pro Plan Only","Pro Plan Only","https://maps.google.com/maps/place/PW+CLINIC+PTE.+LTD./@1.2913509607315,103.85137939453,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x614E737C44D505E2!8m2!3d1.2913509607315!4d103.85137939453","1","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","160 ROBINSON ROAD Singapore 068914","","","","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan"
